ASX code,Company name,Security type,ISIN code
,,,
,,,
 This report last updated: 02/09/11,,,
,,,
ONT,1300 SMILES LIMITED,ORDINARY FULLY PAID,AU000000ONT7
54W,19.5 MICRON WOOL,19.5 MICRON CHINA TYPE 54 WOOL,AU00000054W6
55W,21.0 MICRON WOOL,21.0 MICRON CHINA TYPE 55 WOOL,AU00000055W3
56W,22.6 MICRON WOOL,26.6 MICRON CHINA TYPE 56 WOOL,AU00000056W1
TDO,3D OIL LIMITED,ORDINARY FULLY PAID,AU000000TDO8
TDOAI,3D OIL LIMITED,ORDINARY FULLY PAID,AU0000TDOAI9
TDOAO,3D OIL LIMITED,OPTION EXPIRING 31-JAN-2011 EX 50C,AU0000TDOAO7
TDOAQ,3D OIL LIMITED,OPTION EXPIRING 31-JAN-2011 EX 60C,AU0000TDOAQ2
TDOAS,3D OIL LIMITED,OPTION EXPIRING 31-JAN-2015 EX 40C,AU0000TDOAS8
TDOAY,3D OIL LIMITED,OPTION EXPIRING 31-MAR-2013 EX 75C,AU0000TDOAY6
TDOAK,3D OIL LIMITED,OPTION EXPIRING 30-JUN-2014 EX 25C,AU0000TDOAK5
TDOAM,3D OIL LIMITED,OPTION EXPIRING 30-NOV-2014 EX 40C,AU0000TDOAM1
DDD,3D RESOURCES LIMITED,ORDINARY FULLY PAID,AU000000DDD5
DDDAA,3D RESOURCES LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000DDDAA3
TQH,3Q HOLDINGS LIMITED,ORDINARY FULLY PAID,AU000000TQH4
TQHAM,3Q HOLDINGS LIMITED,OPTION EXPIRING 15-JAN-2013 EX 15C,AU0000TQHAM7
FCS,4C SECURITY SOLUTION,ORDINARY FULLY PAID,AU000000FCS0
FCSOA,4C SECURITY SOLUTION,OPTION EXPIRING 31-DEC-2013,AU0000FCSOA9
FCSAK,4C SECURITY SOLUTION,OPTION EXPIRING 31-DEC-2015 EX 2C,AU0000FCSAK7
FCSAI,4C SECURITY SOLUTION,OPTION EXPIRING 31-DEC-2013 EX 10C,AU0000FCSAI1
EGM,888 RESOURCES LTD,ORDINARY FULLY PAID,AU000000EGM7
EGMO,888 RESOURCES LTD,OPTION EXPIRING 31-DEC-2014,AU00000EGMO3
ACB,A-CAP RESOURCES,ORDINARY FULLY PAID,AU000000ACB7
ACBAQ,A-CAP RESOURCES,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000ACBAQ1
APE,A.P. EAGERS LIMITED,ORDINARY FULLY PAID,AU000000APE3
APEAI,A.P. EAGERS LIMITED,OPTION EXPIRING 28-AUG-2016 EX $9.12,AU0000APEAI4
APEAM,A.P. EAGERS LIMITED,PERFORMANCE RIGHTS,AU0000APEAM6
APEAK,A.P. EAGERS LIMITED,OPTION EXPIRING 30-SEP-2017 EX $9.12,AU0000APEAK0
APEAO,A.P. EAGERS LIMITED,OPTION EXPIRING 27-JAN-2017 EX $12.10,AU0000APEAO2
APEAQ,A.P. EAGERS LIMITED,OPTION EXPIRING 27-JAN-2017 EX $12.60,AU0000APEAQ7
AAM,A1 MINERALS LIMITED,ORDINARY FULLY PAID,AU000000AAM8
AAMAO,A1 MINERALS LIMITED,OPTION EXPIRING VARIOUS DATES EX VARIOUS PRICES,AU0000AAMAO7
AAMAQ,A1 MINERALS LIMITED,OPTION EXPIRING 30-NOV-2011 EX 30C,AU0000AAMAQ2
