14/09/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stock List for SETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,File last updated on the ,,12/09/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Segment,Sector,Issuer Name,ISIN,Currency,Country of Register,Mnemonic,Short Name,Long Name,EMS,Price Format,ADT / PTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,ANGLO AMERICAN PLC,GB00B1XZS820,GBX,GB,AAL,ANGLO AMERICAN,ORD USD0.54945,1500,,19750832537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,ASTRAZENECA PLC,GB0009895292,GBX,GB,AZN,ASTRAZENECA,ORD SHS $0.25,1500,,16444183826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,BARCLAYS PLC,GB0031348658,GBX,GB,BARC,BARCLAYS,ORD 25P,15000,,24317682536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,BRITISH AMERICAN TOBACCO PLC,GB0002875804,GBX,GB,BATS,BR.AMER.TOB.,ORD 25P,2000,,11366758120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,BG GROUP PLC,GB0008762899,GBX,GB,BG.,BG GRP.,ORD 10P,3000,,12463758015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,BHP BILLITON PLC,GB0000566504,GBX,GB,BLT,BHP BILLITON,ORD $0.50,2000,,28761064929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,BP PLC,GB0007980591,GBX,GB,BP.,BP,$0.25,10000,,32557512889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,GLENCORE INTERNATIONAL PLC,JE00B4T3BW64,GBX,JE,GLEN,GLENCORE,ORD USD0.01,9000,,4000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,GLAXOSMITHKLINE PLC,GB0009252882,GBX,GB,GSK,GLAXOSMITHKLINE,ORD 25P,4000,,16534230330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,HSBC HLDGS PLC,GB0005405286,GBX,GB,HSBA,HSBC HLDGS.UK,ORD $0.50 (UK REG),7000,,31917848523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,LLOYDS BANKING GROUP PLC,GB0008706128,GBX,GB,LLOY,LLOYDS GRP.,ORD 10P,80000,,16620582620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,ROYAL DUTCH SHELL PLC,GB00B03MLX29,GBX,GB,RDSA,RDS 'A','A' ORD EUR0.07,2000,,19385048240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,ROYAL DUTCH SHELL PLC,GB00B03MM408,GBX,GB,RDSB,RDS 'B','B' ORD EUR0.07,2000,,12696875357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,RIO TINTO PLC,GB0007188757,GBX,GB,RIO,RIO TINTO,ORD 10P,1000,,33856443313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,SABMILLER PLC,GB0004835483,GBX,GB,SAB,SABMILLER,ORD $0.10,2000,,6669208913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SET0,FE00,STANDARD CHARTERED PLC,GB0004082847,GBX,GB,STAN,STAND.CHART.,ORD USD0.50,3000,,13920708388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
